,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
pop_2014,4849377,736732,6731484,2966369,38802500,5355866,3596677,935614,658893,19893297,10097343,1419561,1634464,12880580,6596855,3107126,2904021,4413457,4649676,1330089,5976407,6745408,9909877,5457173,2994079,6063589,1023579,1881503,2839099,1326813,8938175,2085572,19746227,9943964,739482,11594163,3878051,3970239,12787209,1055173,4832482,853175,6549352,26956958,2942902,626562,8326289,7061530,1850326,5757564,584153
